transcription,Spanish,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ni,,,,BMAF02102021-1-combine:33:05.6,0:00.5,33:05.6,33:06.1,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_056-33_061].wav,23398063-2
ʂéʔ,su padre (el/ella),his/her father (formal),,BMAF01292021-1-combine:35:15.4,0:00.6,35:15.4,35:15.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[35_154-35_159].wav,62017056-2
nìá̰,pie,my foot,,BMAF01152021-1-combine:09:24.9,0:00.5,9:24.9,9:25.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[09_249-09_255].wav,12757604-1
ʂàtòʔ,nuestro padre,our father (eclusive),,BMAF01292021-1-combine:37:43.9,0:00.7,37:43.9,37:44.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[37_439-37_446].wav,64287045-1
nèdá blêɺâ nò̰ɺé zẫn nèʁê,Ví muchas mujeres ayer,I saw many women yesterday,,BMAF01082021-1-combine:06:03.7,0:02.9,6:03.7,6:06.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[06_037-06_066].wav,31621184-2
lén,eso,that,,BMAF02172021-1-combine:13:54.1,0:01.2,13:54.1,13:55.2,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[13_541-13_552].wav,59535688-2
ʐíkòlé,vuestro perro,your.plr dog,,BMAF01292021-1-combine:11:56.1,0:00.8,11:56.1,11:57.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[11_561-11_570].wav,57236189-2
bèné biǒ zẫn,muchos hombres,a lot of men,,BMAF01082021-1-combine:27:55.3,0:01.0,27:55.3,27:56.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[27_553-27_563].wav,01333230-1
nà̰tgé wḛ̀ʁá nìss,Tomé agua ahora,I drank water right now,,BMAF02032021-1-combine:31:02.0,0:01.5,31:02.0,31:03.5,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[31_020-31_035].wav,35772700-2
bèné biǒ zã̂n bɭèɭá jòdô,Ví muchos hombres en la iglesia,I saw a lot of men in church,,BMAF01082021-1-combine:28:26.9,0:02.0,28:26.9,28:28.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[28_269-28_289].wav,05975419-1
bèɳéʔ,persona,person,,BMAF01082021-1-combine:33:42.8,0:00.6,33:42.8,33:43.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[33_428-33_434].wav,14488708-2
lén,se llama,it's called,,BMAF02172021-1-combine:15:16.9,0:00.8,15:16.9,15:17.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[15_169-15_177].wav,42644990-2
tʂèlé,su/tu,your,,BMAF01152021-1-combine:29:32.1,0:00.6,29:32.1,29:32.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[29_321-29_326].wav,13301483-2
nàʒâ,hoy,today,,BMAF01082021-1-combine:26:31.2,0:00.7,26:31.2,26:31.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[26_312-26_319].wav,26602063-2
nò̰ɺé,mujer,woman,,BMAF01082021-1-combine:03:58.5,0:00.5,3:58.5,3:59.0,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[03_585-03_590].wav,11251921-1
nːe,,,,BMAF02102021-1-combine:33:00.7,0:00.7,33:00.7,33:01.3,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_007-33_013].wav,27943199-1
lìʃʒóʔ,nuestra casa,our house (inclusive),,BMAF01152021-1-combine:33:31.1,0:00.8,33:31.1,33:32.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[33_311-33_320].wav,58230012-1
